trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
431,False,"{'a': 0.1, 'e': 0.013278030960077104}",25,12,24.153894944610784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.1, 'e': 0.013145250650476333}",20,0,34.215349403001056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
433,False,"{'a': 0.1, 'e': 0.01301379814397157}",25,6,30.683402715890818,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.1, 'e': 0.012883660162531854}",25,10,26.01322027733817,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.1, 'e': 0.012754823560906535}",25,20,12.066823766831334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.1, 'e': 0.01262727532529747}",20,13,14.457705999802279,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.1, 'e': 0.012501002572044496}",25,11,22.283330192514864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.1, 'e': 0.01237599254632405}",20,2,29.0176338059029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.1, 'e': 0.012252232620860809}",25,14,16.562438967903283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.1, 'e': 0.012129710294652202}",20,2,29.708951689079655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.1, 'e': 0.01200841319170568}",25,15,23.83406413826739,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.1, 'e': 0.011888329059788622}",20,16,8.145354152711258,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.1, 'e': 0.011769445769190737}",20,11,14.549505238548532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.1, 'e': 0.011651751311498829}",25,12,19.474334151494382,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.1, 'e': 0.01153523379838384}",25,17,15.745126538417658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.1, 'e': 0.011419881460400001}",30,12,29.081762990800087,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.1, 'e': 0.011305682645796001}",25,12,23.11021465166499,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.1, 'e': 0.011192625819338041}",20,13,-0.23385482628486787,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.1, 'e': 0.011080699561144661}",20,0,32.850734328716285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
450,False,"{'a': 0.1, 'e': 0.010969892565533214}",20,13,10.934381467711974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.1, 'e': 0.010860193639877882}",25,20,8.986125323930185,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.1, 'e': 0.010751591703479103}",20,11,15.318934595866388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.1, 'e': 0.010644075786444312}",20,12,15.320597238736813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.1, 'e': 0.01053763502857987}",20,6,22.045247085368615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.1, 'e': 0.01043225867829407}",30,14,28.19594673486708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
